date,away_team_id,away_goals,home_team_id,home_goals,length_of_game_min,updated_at
2022-10-07,San Jose Sharks,1,Nashville Predators,4,163,2023-09-27
2022-10-08,Nashville Predators,3,San Jose Sharks,2,153,2023-09-27
2022-10-11,Vegas Golden Knights,4,Los Angeles Kings,3,151,2023-09-27
2022-10-11,Tampa Bay Lightning,1,New York Rangers,3,141,2023-09-27
2022-10-12,Seattle Kraken,4,Anaheim Ducks,5,148,2023-09-27
2022-10-12,Columbus Blue Jackets,1,Carolina Hurricanes,4,157,2023-09-27
2022-10-12,Chicago Blackhawks,2,Colorado Avalanche,5,139,2023-09-27
2022-10-12,Vancouver Canucks,3,Edmonton Oilers,5,161,2023-09-27
2022-10-12,Toronto Maple Leafs,3,Montreal Canadiens,4,150,2023-09-27
2022-10-12,Boston Bruins,5,Washington Capitals,2,148,2023-09-27
2022-10-13,Ottawa Senators,1,Buffalo Sabres,4,141,2023-09-27
2022-10-13,Colorado Avalanche,3,Calgary Flames,5,155,2023-09-27
2022-10-13,Seattle Kraken,4,Los Angeles Kings,1,148,2023-09-27
2022-10-13,New York Rangers,7,Minnesota Wild,3,151,2023-09-27
2022-10-13,Dallas Stars,4,Nashville Predators,1,146,2023-09-27
2022-10-13,Florida Panthers,3,New York Islanders,1,156,2023-09-27
2022-10-13,New Jersey Devils,2,Philadelphia Flyers,5,154,2023-09-27
2022-10-13,Arizona Coyotes,2,Pittsburgh Penguins,6,154,2023-09-27
2022-10-13,Washington Capitals,2,Toronto Maple Leafs,3,151,2023-09-27
2022-10-13,Chicago Blackhawks,0,Vegas Golden Knights,1,147,2023-09-27
2022-10-14,Tampa Bay Lightning,5,Columbus Blue Jackets,2,145,2023-09-27
2022-10-14,Montreal Canadiens,0,Detroit Red Wings,3,150,2023-09-27
2022-10-14,Carolina Hurricanes,2,San Jose Sharks,1,147,2023-09-27
2022-10-14,New York Rangers,1,Winnipeg Jets,4,146,2023-09-27
2022-10-15,Arizona Coyotes,3,Boston Bruins,6,153,2023-09-27
2022-10-15,Florida Panthers,4,Buffalo Sabres,3,150,2023-09-27
2022-10-15,Nashville Predators,1,Dallas Stars,5,150,2023-09-27
2022-10-15,Calgary Flames,4,Edmonton Oilers,3,155,2023-09-27
2022-10-15,Los Angeles Kings,7,Minnesota Wild,6,164,2023-09-27
2022-10-15,Detroit Red Wings,5,New Jersey Devils,2,145,2023-09-27
2022-10-15,Anaheim Ducks,1,New York Islanders,7,152,2023-09-27
