Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%,updated_at
Florida Panthers,61,41,16,4,86,.705,202,145,0.87,-0.07,.664,33,33-16-12,.639,2024-03-04 13:34:36.698522
Boston Bruins,62,35,13,14,84,.677,208,174,0.50,-0.05,.565,27,27-13-22,.613,2024-03-04 13:34:36.698522
Toronto Maple Leafs,60,35,17,8,78,.650,224,190,0.54,-0.02,.550,24,24-17-19,.558,2024-03-04 13:34:36.698522
Detroit Red Wings,61,33,22,6,72,.590,216,195,0.36,0.01,.525,23,23-22-16,.508,2024-03-04 13:34:36.698522
Tampa Bay Lightning,63,33,24,6,72,.571,214,213,0.03,0.02,.500,26,26-24-13,.516,2024-03-04 13:34:36.698522
Buffalo Sabres,62,29,29,4,62,.500,183,187,-0.12,-0.05,.468,24,24-29-9,.460,2024-03-04 13:34:36.698522
Montreal Canadiens,61,23,28,10,56,.459,173,219,-0.78,-0.02,.393,14,14-28-19,.385,2024-03-04 13:34:36.698522
Ottawa Senators,59,25,31,3,53,.449,195,212,-0.21,0.07,.407,19,19-31-9,.398,2024-03-04 13:34:36.698522
New York Rangers,61,40,17,4,84,.689,204,168,0.52,-0.08,.672,32,32-17-12,.623,2024-03-04 13:34:36.698522
Carolina Hurricanes,61,36,19,6,78,.639,201,172,0.48,0.00,.615,30,30-19-12,.590,2024-03-04 13:34:36.698522
Philadelphia Flyers,62,32,23,7,71,.573,189,184,0.11,0.03,.500,24,24-23-15,.508,2024-03-04 13:34:36.698522
New York Islanders,60,26,20,14,66,.550,180,201,-0.30,0.05,.458,18,18-20-22,.483,2024-03-04 13:34:36.698522
Washington Capitals,60,28,23,9,65,.542,160,193,-0.59,-0.04,.475,22,22-23-15,.492,2024-03-04 13:34:36.698522
New Jersey Devils,61,30,27,4,64,.525,202,214,-0.26,-0.07,.500,25,25-27-9,.484,2024-03-04 13:34:36.698522
Pittsburgh Penguins,59,27,24,8,62,.525,174,166,0.13,-0.01,.458,22,22-24-13,.483,2024-03-04 13:34:36.698522
Columbus Blue Jackets,60,20,30,10,50,.417,178,220,-0.68,0.02,.325,15,15-30-15,.375,2024-03-04 13:34:36.698522
Winnipeg Jets,60,39,16,5,83,.692,187,144,0.64,-0.08,.658,34,34-16-10,.650,2024-03-04 13:34:36.698522
Dallas Stars,63,37,17,9,83,.659,225,190,0.55,0.00,.579,27,27-17-19,.579,2024-03-04 13:34:36.698522
Colorado Avalanche,62,37,20,5,79,.637,227,194,0.46,-0.08,.589,33,33-20-9,.605,2024-03-04 13:34:36.698522
Nashville Predators,62,35,25,2,72,.581,199,190,0.16,0.01,.548,28,28-25-9,.524,2024-03-04 13:34:36.698522
St. Louis Blues,60,31,26,3,65,.542,174,186,-0.16,0.04,.508,24,24-26-10,.483,2024-03-04 13:34:36.698522
Minnesota Wild,62,29,27,6,64,.516,194,208,-0.15,0.07,.460,23,23-27-12,.468,2024-03-04 13:34:36.698522
Arizona Coyotes,61,25,31,5,55,.451,180,201,-0.32,0.02,.393,20,20-31-10,.410,2024-03-04 13:34:36.698522
Chicago Blackhawks,61,15,41,5,35,.287,125,218,-1.38,0.14,.246,10,10-41-10,.246,2024-03-04 13:34:36.698522
Vancouver Canucks,63,39,17,7,85,.675,224,176,0.68,-0.08,.635,34,34-17-12,.635,2024-03-04 13:34:36.698522
Edmonton Oilers,59,37,20,2,76,.644,212,172,0.65,-0.03,.610,30,30-20-9,.585,2024-03-04 13:34:36.698522
Vegas Golden Knights,61,33,21,7,73,.598,198,179,0.26,-0.05,.525,26,26-21-14,.541,2024-03-04 13:34:36.698522
Los Angeles Kings,60,31,19,10,72,.600,188,162,0.45,0.01,.542,27,27-19-14,.567,2024-03-04 13:34:36.698522
Calgary Flames,60,30,25,5,65,.542,189,187,0.10,0.06,.533,25,25-25-10,.500,2024-03-04 13:34:36.698522
Seattle Kraken,60,26,23,11,63,.525,166,171,-0.05,0.03,.442,20,20-23-17,.475,2024-03-04 13:34:36.698522
Anaheim Ducks,61,22,36,3,47,.385,162,216,-0.86,0.03,.361,16,16-36-9,.336,2024-03-04 13:34:36.698522
San Jose Sharks,60,15,39,6,36,.300,129,235,-1.65,0.11,.283,11,11-39-10,.267,2024-03-04 13:34:36.698522
