Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%,updated_at
Florida Panthers,60,40,16,4,84,.700,198,145,0.81,-0.07,.658,32,32-16-12,.633,2024-03-01 22:06:55.899280
Boston Bruins,61,35,12,14,84,.689,207,169,0.58,-0.05,.574,27,27-12-22,.623,2024-03-01 22:06:55.899280
Toronto Maple Leafs,59,34,17,8,76,.644,220,187,0.52,-0.04,.551,24,24-17-18,.559,2024-03-01 22:06:55.899280
Detroit Red Wings,60,33,21,6,72,.600,216,191,0.42,0.00,.533,23,23-21-16,.517,2024-03-01 22:06:55.899280
Tampa Bay Lightning,62,32,24,6,70,.565,210,210,0.03,0.03,.500,26,26-24-12,.516,2024-03-01 22:06:55.899280
Buffalo Sabres,60,28,28,4,60,.500,174,180,-0.16,-0.06,.467,23,23-28-9,.458,2024-03-01 22:06:55.899280
Montreal Canadiens,60,23,28,9,55,.458,170,215,-0.77,-0.02,.392,14,14-28-18,.383,2024-03-01 22:06:55.899280
Ottawa Senators,57,25,29,3,53,.465,190,203,-0.15,0.08,.421,19,19-29-9,.412,2024-03-01 22:06:55.899280
New York Rangers,60,40,17,3,83,.692,201,164,0.53,-0.09,.675,32,32-17-11,.625,2024-03-01 22:06:55.899280
Carolina Hurricanes,60,36,18,6,78,.650,198,167,0.50,-0.01,.625,30,30-18-12,.600,2024-03-01 22:06:55.899280
Philadelphia Flyers,60,31,22,7,69,.575,183,177,0.14,0.04,.500,23,23-22-15,.508,2024-03-01 22:06:55.899280
New Jersey Devils,59,30,25,4,64,.542,198,205,-0.18,-0.06,.517,25,25-25-9,.500,2024-03-01 22:06:55.899280
New York Islanders,59,25,20,14,64,.542,175,200,-0.37,0.05,.449,17,17-20-22,.475,2024-03-01 22:06:55.899280
Washington Capitals,58,27,22,9,63,.543,153,186,-0.60,-0.03,.474,21,21-22-15,.491,2024-03-01 22:06:55.899280
Pittsburgh Penguins,57,27,22,8,62,.544,170,156,0.22,-0.03,.474,22,22-22-13,.500,2024-03-01 22:06:55.899280
Columbus Blue Jackets,59,19,30,10,48,.407,173,218,-0.72,0.04,.314,14,14-30-15,.364,2024-03-01 22:06:55.899280
Dallas Stars,62,36,17,9,81,.653,222,188,0.57,0.02,.581,27,27-17-18,.581,2024-03-01 22:06:55.899280
Winnipeg Jets,58,37,16,5,79,.681,177,139,0.57,-0.09,.647,32,32-16-10,.638,2024-03-01 22:06:55.899280
Colorado Avalanche,61,37,19,5,79,.648,226,189,0.52,-0.09,.598,33,33-19-9,.615,2024-03-01 22:06:55.899280
Nashville Predators,61,34,25,2,70,.574,194,189,0.08,0.00,.541,27,27-25-9,.516,2024-03-01 22:06:55.899280
St. Louis Blues,59,30,26,3,63,.534,171,185,-0.20,0.03,.500,23,23-26-10,.475,2024-03-01 22:06:55.899280
Minnesota Wild,60,28,26,6,62,.517,189,202,-0.12,0.10,.458,22,22-26-12,.467,2024-03-01 22:06:55.899280
Arizona Coyotes,59,23,31,5,51,.432,170,196,-0.41,0.03,.373,18,18-31-10,.390,2024-03-01 22:06:55.899280
Chicago Blackhawks,60,15,40,5,35,.292,123,213,-1.35,0.15,.250,10,10-40-10,.250,2024-03-01 22:06:55.899280
Vancouver Canucks,62,38,17,7,83,.669,222,175,0.69,-0.07,.629,33,33-17-12,.629,2024-03-01 22:06:55.899280
Vegas Golden Knights,60,33,20,7,73,.608,196,172,0.34,-0.06,.533,26,26-20-14,.550,2024-03-01 22:06:55.899280
Edmonton Oilers,57,35,20,2,72,.632,204,170,0.56,-0.04,.596,28,28-20-9,.570,2024-03-01 22:06:55.899280
Los Angeles Kings,59,30,19,10,70,.593,183,161,0.38,0.01,.534,26,26-19-14,.559,2024-03-01 22:06:55.899280
Calgary Flames,59,29,25,5,63,.534,185,184,0.08,0.06,.525,24,24-25-10,.492,2024-03-01 22:06:55.899280
Seattle Kraken,59,26,22,11,63,.534,165,169,-0.04,0.03,.449,20,20-22-17,.483,2024-03-01 22:06:55.899280
Anaheim Ducks,59,21,35,3,45,.381,157,211,-0.90,0.02,.356,15,15-35-9,.331,2024-03-01 22:06:55.899280
San Jose Sharks,58,15,38,5,35,.302,124,228,-1.69,0.11,.284,11,11-38-9,.267,2024-03-01 22:06:55.899280
