date,away_team_id,away_goals,home_team_id,home_goals,length_of_game_min,updated_at
2021-10-12,Pittsburgh Penguins,6,Tampa Bay Lightning,2,153,2023-09-25
2021-10-12,Seattle Kraken,3,Vegas Golden Knights,4,145,2023-09-25
2021-10-13,Winnipeg Jets,1,Anaheim Ducks,4,149,2023-09-25
2021-10-13,Chicago Blackhawks,2,Colorado Avalanche,4,152,2023-09-25
2021-10-13,Vancouver Canucks,2,Edmonton Oilers,3,162,2023-09-25
2021-10-13,Montreal Canadiens,1,Toronto Maple Leafs,2,153,2023-09-25
2021-10-13,New York Rangers,1,Washington Capitals,5,149,2023-09-25
2021-10-14,Montreal Canadiens,1,Buffalo Sabres,5,146,2023-09-25
2021-10-14,New York Islanders,3,Carolina Hurricanes,6,166,2023-09-25
2021-10-14,Arizona Coyotes,2,Columbus Blue Jackets,8,150,2023-09-25
2021-10-14,Tampa Bay Lightning,7,Detroit Red Wings,6,170,2023-09-25
2021-10-14,Pittsburgh Penguins,4,Florida Panthers,5,160,2023-09-25
2021-10-14,Vegas Golden Knights,2,Los Angeles Kings,6,152,2023-09-25
2021-10-14,Seattle Kraken,4,Nashville Predators,3,156,2023-09-25
2021-10-14,Dallas Stars,3,New York Rangers,2,152,2023-09-25
2021-10-14,Toronto Maple Leafs,2,Ottawa Senators,3,146,2023-09-25
2021-10-15,Minnesota Wild,2,Anaheim Ducks,1,157,2023-09-25
2021-10-15,Chicago Blackhawks,3,New Jersey Devils,4,148,2023-09-25
2021-10-15,Vancouver Canucks,5,Philadelphia Flyers,4,162,2023-09-25
2021-10-16,Dallas Stars,1,Boston Bruins,3,156,2023-09-25
2021-10-16,Arizona Coyotes,1,Buffalo Sabres,2,148,2023-09-25
2021-10-16,Seattle Kraken,1,Columbus Blue Jackets,2,145,2023-09-25
2021-10-16,St. Louis Blues,5,Colorado Avalanche,3,152,2023-09-25
2021-10-16,Vancouver Canucks,1,Detroit Red Wings,3,156,2023-09-25
2021-10-16,Calgary Flames,2,Edmonton Oilers,5,156,2023-09-25
2021-10-16,New York Islanders,1,Florida Panthers,5,154,2023-09-25
2021-10-16,Minnesota Wild,3,Los Angeles Kings,2,146,2023-09-25
2021-10-16,New York Rangers,3,Montreal Canadiens,1,150,2023-09-25
2021-10-16,Carolina Hurricanes,3,Nashville Predators,2,155,2023-09-25
2021-10-16,Chicago Blackhawks,2,Pittsburgh Penguins,5,135,2023-09-25
2021-10-16,Winnipeg Jets,3,San Jose Sharks,4,145,2023-09-25
2021-10-16,Ottawa Senators,1,Toronto Maple Leafs,3,149,2023-09-25
2021-10-16,Tampa Bay Lightning,2,Washington Capitals,1,163,2023-09-25
2021-10-17,Dallas Stars,2,Ottawa Senators,3,147,2023-09-25
2021-10-18,St. Louis Blues,7,Arizona Coyotes,4,147,2023-09-25
2021-10-18,Anaheim Ducks,3,Calgary Flames,2,146,2023-09-25
2021-10-18,Seattle Kraken,1,Philadelphia Flyers,6,150,2023-09-25
2021-10-18,New York Rangers,2,Toronto Maple Leafs,1,148,2023-09-25
2021-10-19,Vancouver Canucks,2,Buffalo Sabres,5,137,2023-09-25
2021-10-19,New York Islanders,4,Chicago Blackhawks,1,146,2023-09-25
2021-10-19,Columbus Blue Jackets,1,Detroit Red Wings,4,148,2023-09-25
2021-10-19,Anaheim Ducks,5,Edmonton Oilers,6,153,2023-09-25
2021-10-19,Winnipeg Jets,5,Minnesota Wild,6,171,2023-09-25
2021-10-19,San Jose Sharks,5,Montreal Canadiens,0,139,2023-09-25
2021-10-19,Seattle Kraken,2,New Jersey Devils,4,164,2023-09-25
2021-10-19,Los Angeles Kings,1,Nashville Predators,2,146,2023-09-25
2021-10-19,Dallas Stars,2,Pittsburgh Penguins,1,148,2023-09-25
2021-10-19,Florida Panthers,4,Tampa Bay Lightning,1,149,2023-09-25
